Ticker,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AMT,,0.2392642639179794,-0.7499670288923814,-0.6272438988322815,2.0651555480206834,0.7005546638308469,0.47282624683108576,0.37564560499824373,0.1427038694741074,-0.3117369670249751,0.4737374659200573,0.19509405609596442,0.16898290912525948,0.304329557935878,0.0479943578096691,0.25763833487249155,9.534481503647996e-06,0.11224438221916122,0.3771486862445459,0.1332325437944557,0.4786609314870951,-0.004822564951405317,0.3288620337449424,-0.2566820514508825,0.05371034354972659,-0.12163718731704509,-0.00915072450406429,0.0020356930399627604
AMZN,,-0.7955665107171693,-0.3047389341413955,0.7458410611874171,1.7856008056503057,-0.15830485933485294,0.06457445431805175,-0.16309650657883557,1.3476937927307593,-0.4464594326049557,1.623244975565349,0.3380910235792649,-0.038333363003201004,0.4492779126046438,0.5896281654730438,-0.22177089223200863,1.1778313909946103,0.10945572452950514,0.5595636491351448,0.2843168959316702,0.23027749504206452,0.7625606069163975,0.023767773568753814,-0.4961521476592685,0.8088095528738839,0.4439252064264869,0.05209903808910643,0.18915172981856299
ANET,,,,,,,,,,,,,,,,,0.28110596590165327,0.24319117671850554,1.434432262098606,-0.105611701712504,-0.034646431691933266,0.4285644839895988,0.9788690694370721,-0.15582609757133148,0.9407498761284321,0.8772876116913777,0.185470010190933,0.4398992591516053
AON,,-0.11986562414716206,0.06333770428112007,-0.45132304677031376,0.30356783954138966,0.02136812527867571,0.543473143122414,-0.0006161827202858516,0.36994179838823515,-0.0287148305917051,-0.14795346313943714,0.21827437181787834,0.029532090565917768,0.20297018377450748,0.524538161068345,0.14302873237863323,-0.01595661595463982,0.22498808358704192,0.21485999226546593,0.0994440444700635,0.4467512108692038,0.02365776588158086,0.4339012624525649,0.00612524695652783,-0.023054441414565807,0.2445069186627229,-0.011552103312113204,0.0203584594089663
AOS,,-0.1965558847508181,0.17763187781414347,0.4136320692564963,0.323611136451436,-0.12760221092749846,0.19904875740036831,0.08722080898361417,-0.050443520440598855,-0.13830732447614802,0.5032936942766966,0.3375026358570641,0.06899731224729244,0.5951323453461981,0.7300575973803729,0.05884873482785835,0.37350224065560833,0.2507300989503871,0.30781121379058596,-0.29348718299252596,0.13648886665412507,0.17461744226265608,0.5927825221156884,-0.32074263988484575,0.4667732166951184,-0.15924812116654596,0.0006828341552183037,-0.02731079302831485
APA,,0.9045845451111647,-0.2121940088655947,0.15121487643582565,0.5041160083967491,0.25414301953546903,0.3626503687319551,-0.022859005949814604,0.6291813908702324,-0.3021645622672239,0.394863271988646,0.16265956285561467,-0.23627620124805404,-0.1269952390886916,0.10527814778898592,-0.2625028547040579,-0.27747723693245907,0.45661901262774673,-0.3212724569795321,-0.36386441041972306,0.011203161200689093,-0.43706167880675306,0.907594791970326,0.764405721284809,-0.21237485147559365,-0.334364332347758,0.1153519760769417,0.5744589636256829
APD,,0.24912859954096112,0.1661014146002624,-0.07206809194363317,0.2608247533854964,0.12006540477572858,0.043388398570088915,0.21181712786478935,0.42818500018736505,-0.47760356977964646,0.654661808964415,0.1505363172366898,-0.03789221526733311,0.01698582306130403,0.36857059051464014,0.3209190102812338,-0.076336020042998,0.22454362263552707,0.1704000164940902,0.002605890243073894,0.5001747310493823,0.18815397204933038,0.137545706960567,0.03914278363938828,-0.08952958815191658,0.0808781293984886,-0.12662367461029278,0.2528619347463883
APH,,0.17746403766787688,0.22615781940592017,-0.20915738561933284,0.6823684167808752,0.1493826104581888,0.2081243032037532,0.40560505884508746,0.4962820727851174,-0.48193911953095625,0.9292696425765101,0.14442228159598947,-0.13894734670383058,0.43567367313718597,0.3891227008842546,0.21771031050188627,-0.019930561206798814,0.2987967654418646,0.31807433244196415,-0.06824131250699783,0.34907356178632853,0.22088759415669879,0.34942828628859446,-0.11955891795072071,0.3149998173253583,0.41302408255728684,0.9608363717234321,0.2562535761833271
APO,,,,,,,,,,,,,,0.544483023434321,1.1238536951434517,-0.15966444643641087,-0.29341418308033773,0.37306166727566925,0.8529319326891209,-0.22034041886237787,1.064635209008292,0.07997873678006995,0.5324879616066156,-0.09587916376818584,0.4943714380484274,0.798754408139958,-0.11118241303469278,-0.11232251701852292
APP,,,,,,,,,,,,,,,,,,,,,,,,-0.8882877201959685,2.784425402153058,7.126223311716396,1.0807832358472758,-0.4853225133962211
