year,sector,rank,ticker,value,signal
2020,Real Estate,4,VTR,84.7975,esg
2020,Real Estate,5,KIM,80.1174,esg
2020,Utilities,1,XEL,87.7448,esg
2020,Utilities,2,EIX,84.3364,esg
2020,Utilities,3,D,82.8614,esg
2020,Utilities,4,NEE,76.5219,esg
2020,Utilities,5,PCG,75.8464,esg
2021,Communication Services,1,DIS,79.3564,esg
2021,Communication Services,2,FOXA,75.0689,esg
2021,Communication Services,3,VZ,74.4569,esg
2021,Communication Services,4,GOOGL,74.2463,esg
2021,Communication Services,5,T,73.4412,esg
2021,Consumer Discretionary,1,CCL,86.9929,esg
2021,Consumer Discretionary,2,HLT,85.199,esg
2021,Consumer Discretionary,3,AMZN,84.0798,esg
2021,Consumer Discretionary,4,MAR,84.0006,esg
2021,Consumer Discretionary,5,YUM,82.9159,esg
2021,Consumer Staples,1,PM,89.7882,esg
2021,Consumer Staples,2,PEP,89.5766,esg
2021,Consumer Staples,3,CL,88.4468,esg
2021,Consumer Staples,4,TGT,86.6809,esg
2021,Consumer Staples,5,KR,84.4691,esg
2021,Energy,1,BKR,89.625,esg
2021,Energy,2,HAL,88.8512,esg
2021,Energy,3,KMI,87.2134,esg
2021,Energy,4,CVX,81.8409,esg
2021,Energy,5,OXY,78.0091,esg
2021,Financials,1,SPGI,90.5423,esg
2021,Financials,2,C,88.8435,esg
2021,Financials,3,GS,88.3924,esg
2021,Financials,4,STT,86.3236,esg
2021,Financials,5,BAC,85.6315,esg
2021,Health Care,1,HUM,89.2007,esg
2021,Health Care,2,A,87.8781,esg
2021,Health Care,3,ELV,87.6272,esg
2021,Health Care,4,JNJ,86.4083,esg
2021,Health Care,5,GILD,85.0771,esg
2021,Industrials,1,MMM,93.8662,esg
2021,Industrials,2,WM,87.31,esg
2021,Industrials,3,J,83.4286,esg
2021,Industrials,4,XYL,83.0697,esg
2021,Industrials,5,GE,82.2118,esg
2021,Information Technology,1,MSFT,93.3715,esg
2021,Information Technology,2,CDNS,87.4223,esg
2021,Information Technology,3,CSCO,86.828,esg
2021,Information Technology,4,FLEX,85.3509,esg
2021,Information Technology,5,MSI,84.7387,esg
2021,Materials,1,CRH,91.2021,esg
2021,Materials,2,NEM,88.0157,esg
2021,Materials,3,IFF,86.235,esg
2021,Materials,4,LIN,86.0625,esg
2021,Materials,5,SW,85.5952,esg
2021,Real Estate,1,VTR,88.6053,esg
2021,Real Estate,2,DOC,85.6254,esg
2021,Real Estate,3,CBRE,85.5382,esg
2021,Real Estate,4,HST,85.148,esg
2021,Real Estate,5,KIM,81.5683,esg
2021,Utilities,1,XEL,84.7865,esg
2021,Utilities,2,EIX,83.8032,esg
2021,Utilities,3,AWK,80.4558,esg
2021,Utilities,4,D,79.3339,esg
2021,Utilities,5,DTE,78.7352,esg
2022,Communication Services,1,GOOGL,76.7372,esg
2022,Communication Services,2,FOXA,75.4799,esg
2022,Communication Services,3,PSKY,74.168,esg
2022,Communication Services,4,T,73.0202,esg
2022,Communication Services,5,OMC,72.6462,esg
2022,Consumer Discretionary,1,HAS,85.4195,esg
2022,Consumer Discretionary,2,BBY,82.2483,esg
2022,Consumer Discretionary,3,HLT,82.0987,esg
2022,Consumer Discretionary,4,YUM,80.2949,esg
2022,Consumer Discretionary,5,CCL,80.0087,esg
2022,Consumer Staples,1,CL,89.349,esg
2022,Consumer Staples,2,PEP,88.122,esg
2022,Consumer Staples,3,HSY,88.0143,esg
2022,Consumer Staples,4,MO,86.3356,esg
2022,Consumer Staples,5,PM,85.0092,esg
2022,Energy,1,BKR,89.5953,esg
2022,Energy,2,HAL,86.4505,esg
2022,Energy,3,KMI,84.1399,esg
2022,Energy,4,OXY,76.9221,esg
2022,Energy,5,MPC,76.5965,esg
2022,Financials,1,GS,86.6428,esg
2022,Financials,2,SPGI,85.863,esg
2022,Financials,3,C,85.4783,esg
2022,Financials,4,BAC,85.2797,esg
2022,Financials,5,HIG,82.3835,esg
2022,Health Care,1,JNJ,90.6162,esg
2022,Health Care,2,CVS,88.6552,esg
2022,Health Care,3,A,88.4052,esg
2022,Health Care,4,BAX,86.0927,esg
2022,Health Care,5,ELV,84.4264,esg
2022,Industrials,1,MMM,89.9939,esg
2022,Industrials,2,WM,85.7095,esg
2022,Industrials,3,J,85.3733,esg
2022,Industrials,4,XYL,84.7821,esg
2022,Industrials,5,CAT,84.166,esg
2022,Information Technology,1,MSFT,92.9059,esg
2022,Information Technology,2,MSI,86.3827,esg
2022,Information Technology,3,FLEX,85.1321,esg
2022,Information Technology,4,CSCO,83.6134,esg
2022,Information Technology,5,AMAT,83.4336,esg
2022,Materials,1,DOW,90.499,esg
2022,Materials,2,LIN,90.0824,esg
2022,Materials,3,CRH,89.6079,esg
2022,Materials,4,NEM,89.1632,esg
2022,Materials,5,APD,83.5817,esg
2022,Real Estate,1,CBRE,88.4272,esg
2022,Real Estate,2,HST,87.4637,esg
2022,Real Estate,3,DOC,87.3962,esg
2022,Real Estate,4,VTR,86.0569,esg
2022,Real Estate,5,WY,85.2639,esg
2022,Utilities,1,PCG,82.8837,esg
2022,Utilities,2,D,81.4969,esg
2022,Utilities,3,XEL,79.4953,esg
2022,Utilities,4,NEE,79.4072,esg
2022,Utilities,5,AWK,79.0563,esg
2023,Communication Services,1,GOOGL,78.6576,esg
2023,Communication Services,2,T,77.3985,esg
2023,Communication Services,3,PSKY,72.8695,esg
2023,Communication Services,4,OMC,72.363,esg
2023,Communication Services,5,DIS,69.6155,esg
2023,Consumer Discretionary,1,BBY,82.1127,esg
2023,Consumer Discretionary,2,HAS,81.9659,esg
2023,Consumer Discretionary,3,CCL,81.9284,esg
2023,Consumer Discretionary,4,SBUX,79.7512,esg
2023,Consumer Discretionary,5,WSM,79.5309,esg
2023,Consumer Staples,1,PM,88.6908,esg
2023,Consumer Staples,2,CL,88.2237,esg
2023,Consumer Staples,3,MO,86.8836,esg
2023,Consumer Staples,4,HSY,84.2761,esg
2023,Consumer Staples,5,TGT,83.6917,esg
2023,Energy,1,KMI,83.7171,esg
2023,Energy,2,HAL,82.546,esg
2023,Energy,3,BKR,81.5651,esg
2023,Energy,4,MPC,78.7218,esg
2023,Energy,5,OXY,75.652,esg
2023,Financials,1,SPGI,88.0402,esg
2023,Financials,2,GS,87.023,esg
2023,Financials,3,C,86.6829,esg
2023,Financials,4,BAC,84.2527,esg
2023,Financials,5,MTB,83.832,esg
2023,Health Care,1,JNJ,87.9304,esg
2023,Health Care,2,BDX,86.181,esg
2023,Health Care,3,CVS,85.8014,esg
2023,Health Care,4,ABT,83.0759,esg
2023,Health Care,5,A,82.505,esg
2023,Industrials,1,MMM,90.9212,esg
2023,Industrials,2,WM,84.5368,esg
2023,Industrials,3,CAT,82.7749,esg
2023,Industrials,4,BA,82.6401,esg
2023,Industrials,5,DE,82.5454,esg
2023,Information Technology,1,MSFT,89.0868,esg
2023,Information Technology,2,AMAT,86.1897,esg
2023,Information Technology,3,FLEX,85.6756,esg
2023,Information Technology,4,INTC,84.7271,esg
2023,Information Technology,5,CSCO,83.7753,esg
2023,Materials,1,DOW,92.1417,esg
2023,Materials,2,CRH,88.0348,esg
2023,Materials,3,NEM,86.8308,esg
2023,Materials,4,LIN,84.3411,esg
2023,Materials,5,APD,82.0571,esg
2023,Real Estate,1,CBRE,86.852,esg
2023,Real Estate,2,FRT,85.766,esg
2023,Real Estate,3,HST,85.6782,esg
2023,Real Estate,4,AMT,85.3826,esg
2023,Real Estate,5,DOC,83.9998,esg
2023,Utilities,1,PCG,85.405,esg
2023,Utilities,2,AWK,79.8685,esg
2023,Utilities,3,D,78.7654,esg
2023,Utilities,4,XEL,76.5747,esg
2023,Utilities,5,EIX,75.7944,esg
2024,Communication Services,1,T,78.5964,esg
2024,Communication Services,2,GOOGL,78.3633,esg
2024,Communication Services,3,VZ,71.8817,esg
2024,Communication Services,4,PSKY,71.6708,esg
2024,Communication Services,5,DIS,71.0084,esg
2024,Consumer Discretionary,1,TSCO,85.2054,esg
2024,Consumer Discretionary,2,CCL,84.2673,esg
2024,Consumer Discretionary,3,HAS,82.3969,esg
2024,Consumer Discretionary,4,BBY,81.5919,esg
2024,Consumer Discretionary,5,HLT,79.9372,esg
2024,Consumer Staples,1,PM,88.5514,esg
2024,Consumer Staples,2,MO,85.5498,esg
2024,Consumer Staples,3,HSY,84.1419,esg
2024,Consumer Staples,4,BG,82.9482,esg
2024,Consumer Staples,5,CL,82.8235,esg
2024,Energy,1,HAL,83.5274,esg
2024,Energy,2,KMI,83.1746,esg
2024,Energy,3,MPC,80.4068,esg
2024,Energy,4,BKR,79.0744,esg
2024,Energy,5,OXY,77.4541,esg
2024,Financials,1,BAC,88.6758,esg
2024,Financials,2,C,86.3635,esg
2024,Financials,3,SPGI,85.7538,esg
2024,Financials,4,BNY,85.201,esg
2024,Financials,5,MTB,82.0194,esg
2024,Health Care,1,BIIB,87.3477,esg
2024,Health Care,2,JNJ,85.9528,esg
2024,Health Care,3,BDX,85.3359,esg
2024,Health Care,4,ABT,83.5955,esg
2024,Health Care,5,BSX,83.417,esg
2024,Industrials,1,MMM,88.5017,esg
2024,Industrials,2,WM,84.2598,esg
2024,Industrials,3,LMT,83.2207,esg
2024,Industrials,4,XYL,81.0126,esg
2024,Industrials,5,JCI,80.5137,esg
2024,Information Technology,1,MSFT,87.6162,esg
2024,Information Technology,2,LITE,85.8032,esg
2024,Information Technology,3,AMAT,83.8402,esg
2024,Information Technology,4,ACN,83.5227,esg
2024,Information Technology,5,INTC,82.6658,esg
2024,Materials,1,NEM,87.1536,esg
2024,Materials,2,LIN,86.6594,esg
2024,Materials,3,DOW,85.4164,esg
2024,Materials,4,IFF,85.158,esg
2024,Materials,5,CRH,84.0413,esg
2024,Real Estate,1,VTR,86.4597,esg
2024,Real Estate,2,DOC,84.6948,esg
2024,Real Estate,3,AMT,81.2201,esg
2024,Real Estate,4,FRT,80.6835,esg
2024,Real Estate,5,KIM,80.5296,esg
