year,ticker,sector,esg_rank,ret_rank,esg_years,ret_years,min_years,esg_mean,selected
2014,CCL,Consumer Discretionary,4,46,5,0,0,56.2617289365661,False
2014,HD,Consumer Discretionary,5,38,3,0,0,55.92399725764883,False
2014,PEP,Consumer Staples,1,19,9,1,1,69.65042952964619,False
2014,MDLZ,Consumer Staples,2,18,7,1,1,66.031618696967,False
2014,KO,Consumer Staples,3,20,6,1,1,70.18930596727085,False
2014,WMT,Consumer Staples,4,23,5,1,1,62.43844109475653,False
2014,CL,Consumer Staples,5,24,5,0,0,59.913229494483915,False
2014,STT,Financials,1,46,8,0,0,68.49897283618262,False
2014,C,Financials,2,32,7,1,1,63.13283192613123,False
2014,WFC,Financials,3,23,6,1,1,56.13592748556353,False
2014,ALL,Financials,4,47,4,0,0,60.368519746866255,False
2014,GS,Financials,5,9,4,2,2,54.772253854342,False
2014,JNJ,Health Care,1,30,10,0,0,78.08264907342308,False
2014,BAX,Health Care,2,27,10,0,0,74.80409061490167,False
2014,BMY,Health Care,3,26,6,0,0,76.48647669021241,False
2014,MRK,Health Care,4,21,6,1,1,69.12834589736693,False
2014,CVS,Health Care,5,24,6,0,0,65.21849440271063,False
2014,MMM,Industrials,1,39,10,0,0,67.10367733311469,False
2014,JCI,Industrials,2,24,9,1,1,66.97126166499643,False
2014,UPS,Industrials,3,42,9,0,0,59.67847477456415,False
2014,ETN,Industrials,4,16,5,1,1,61.10492046208529,False
2014,WM,Industrials,5,25,4,1,1,65.8671198157548,False
2014,CSCO,Information Technology,1,27,10,1,1,77.18482325872549,False
2014,HPQ,Information Technology,2,22,9,1,1,72.37474636757455,False
2014,INTC,Information Technology,3,26,7,1,1,76.09764032211527,False
2014,TXN,Information Technology,4,32,7,0,0,73.44881325948388,False
2014,MSFT,Information Technology,5,33,5,0,0,64.9352796867608,False
2014,FCX,Materials,1,3,10,4,4,59.06509510639877,True
2014,NEM,Materials,2,15,8,2,2,79.1634155661199,False
2014,CLF,Materials,3,2,5,5,5,75.53571984085912,True
2014,EMN,Materials,4,8,4,3,3,37.574970498401015,True
2014,FMC,Materials,5,4,4,4,4,34.42065543834859,True
2014,WY,Real Estate,1,10,7,3,3,82.05544110045267,True
2014,HST,Real Estate,2,9,6,3,3,43.26110053807003,True
2014,EQR,Real Estate,3,16,6,0,0,34.16256944288911,False
2014,KIM,Real Estate,4,11,5,3,3,31.328058691901088,True
2014,PLD,Real Estate,5,14,4,2,2,46.66213007004503,False
2014,PNW,Utilities,1,19,8,1,1,63.41275025868087,False
2014,PCG,Utilities,2,21,7,1,1,77.30215874514143,False
2014,WEC,Utilities,3,11,5,2,2,65.27988063299851,False
2014,SO,Utilities,4,14,5,2,2,62.644747991910926,False
2014,EXC,Utilities,5,16,4,2,2,57.809854747047325,False
2015,DIS,Communication Services,1,1,10,10,10,60.578123592743715,True
